,prenom,genre,fréquence
798,archimedes,1,0
799,archippos,1,0
800,ardal,1,0
801,ardashir,1,0
802,arden,1,0.19
803,ardghal,1,0
804,arduino,1,0
805,areli,1,0
806,ares,1,1.56
807,aretha,0,0.03
808,arethusa,0,0
809,arevig,0,0
810,argus,1,0.61
811,argyris,1,0
812,argyros,1,0
813,ari,1,0
814,ari,1,0
815,aria,0,0.45
816,ariadne,0,0.06
817,ariana,0,0.06
818,ariane,0,2.45
819,arianna,0,0
820,arianne,0,0
821,arianrhod,0,0
822,aric,1,0
823,ariel,2,0.61
824,ariella,0,0
825,arielle,0,0.03
826,arienne,0,0
827,aries,1,0
828,arik,1,0
829,arina,0,0
830,arisha,0,0
831,arista,0,0
832,aristide,1,0.80
833,aristides,1,0
834,aristocles,1,0
835,aristodemos,1,0
836,aristomache,0,0
837,ariston,1,0.13
838,aristophanes,1,0
839,aristotle,1,0
840,arisu,0,0
841,arisztid,1,0
842,arjan,1,0
843,arjun,1,0
844,arjuna,1,0.03
845,arkadi,1,0.03
846,arkadios,1,0
847,arkady,1,0
848,arkell,1,0
849,arleen,0,0
850,arlen,1,0.03
851,arlene,0,0
852,arlette,0,0.80
853,arlie,2,0
854,arline,0,0
855,armand,1,30.71
856,armando,1,0
857,armel,1,0.03
858,armelle,0,0
859,armin,1,0.06
860,armo,1,0
861,arn,1,4.78
862,arnaldo,1,0
863,arnau,1,0
864,arnaud,1,9.24
865,arnaude,0,0.67
866,arndt,1,0.03
867,arne,1,0
868,arne,1,0
869,arnie,1,0
870,arnold,1,1.24
871,aroha,0,0
872,aroldo,1,0
873,áron,1,0
874,aron,1,0.96
875,árpád,1,0
876,arrigo,1,0.10
877,arron,1,0
878,arsen,1,0.03
879,arseni,1,0
880,arsenios,1,0.03
881,art,1,176.78
882,artair,1,0
883,artemidoros,1,0
884,artemis,0,0
885,artemisia,0,0.13
886,artemisios,1,0
887,arthur,1,17.78
888,arttu,1,0
889,artturi,1,0
890,artúr,1,0
891,artur,1,0.10
892,arturo,1,0.06
893,arundhati,0,0
894,arvel,1,0
895,arvid,1,0
896,arvo,1,0
897,arwen,0,0
898,aryana,0,0
899,arzu,0,0
900,åsa,0,0
901,asa,1,0.13
902,as'ad,1,0
903,asad,1,0
904,asaf,1,0
905,asaph,1,0.03
906,asbjörn,1,0
907,ásdís,0,0
908,asdrubal,1,0.03
909,aseem,1,0
910,asenath,0,0
911,ash,2,0.13
912,asha,0,0
913,ashanti,0,0.13
914,asher,1,0.03
915,asherah,0,0
916,ashlee,0,0
917,ashleigh,0,0
918,ashley,2,0.06
919,ashlie,0,0
920,ashling,0,0
921,ashlyn,0,0
922,ashlynn,0,0
923,ashok,1,0
924,ashoka,1,0
925,ashtad,1,0
926,ashton,2,0.06
927,ashtoreth,0,0
928,asia,2,0
929,asim,1,0
930,asklepiades,1,0
931,asklepios,1,0
932,aslaug,0,0
933,asli,0,0
934,aslög,0,0
935,asløg,0,0
936,asma,0,0
937,aspasia,0,0
